date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:31	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263053230-247b%22	https://technext.github.io/robots.txt		(from )
10:11:31	41318/41318	---M-Z	200	added ('OK')	text/html	etag:W/%225a929a34-a166%22	https://technext.github.io/raising/	/home/kumartej/websites/construction4/technext.github.io/raising/index.html	(from )
10:11:32	30982/30982	---M-Z	200	added ('OK')	text/css	etag:W/%225a929a34-7906%22	https://technext.github.io/raising/assets/fonts/fontawesome/font-awesome.min.css	/home/kumartej/websites/construction4/technext.github.io/raising/assets/fonts/fontawesome/font-awesome.min.css	(from https://technext.github.io/raising/)
10:11:33	9703/9703	---M-Z	200	added ('OK')	text/css	etag:W/%225a929a34-25e7%22	https://technext.github.io/raising/assets/fonts/pe-icon/pe-icon.css	/home/kumartej/websites/construction4/technext.github.io/raising/assets/fonts/pe-icon/pe-icon.css	(from https://technext.github.io/raising/)
10:11:33	12268/12268	---M-Z	200	added ('OK')	text/css	etag:W/%225a929a34-2fec%22	https://technext.github.io/raising/assets/vendors/bootstrap/grid.css	/home/kumartej/websites/construction4/technext.github.io/raising/assets/vendors/bootstrap/grid.css	(from https://technext.github.io/raising/)
10:11:34	5235/5235	---M-Z	200	added ('OK')	text/css	etag:W/%225a929a34-1473%22	https://technext.github.io/raising/assets/vendors/magnific-popup/magnific-popup.min.css	/home/kumartej/websites/construction4/technext.github.io/raising/assets/vendors/magnific-popup/magnific-popup.min.css	(from https://technext.github.io/raising/)
10:11:35	20670/20670	---M-Z	200	added ('OK')	text/css	etag:W/%225a929a34-50be%22	https://technext.github.io/raising/assets/vendors/swiper/swiper.css	/home/kumartej/websites/construction4/technext.github.io/raising/assets/vendors/swiper/swiper.css	(from https://technext.github.io/raising/)
10:11:37	1115/1115	---MC-	200	added ('OK')	text/css	date:Tue,%2020%20Sep%202022%2004:41:36%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:400,700|Oswald:400,600|Playfair+Display:400i	/home/kumartej/websites/construction4/fonts.googleapis.com/csse5ea.css	(from https://technext.github.io/raising/)
10:11:38	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://technext.github.io/raising/home.html	/home/kumartej/websites/construction4/technext.github.io/raising/home.html	(from https://technext.github.io/raising/)
10:11:38	75330/75330	---M-Z	200	added ('OK')	text/css	etag:W/%225a929a34-12642%22	https://technext.github.io/raising/assets/css/main.css	/home/kumartej/websites/construction4/technext.github.io/raising/assets/css/main.css	(from https://technext.github.io/raising/)
10:11:39	1557/1557	---M--	200	added ('OK')	image/png	etag:%225a929a34-615%22	https://technext.github.io/raising/assets/img/logo_white.png	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/logo_white.png	(from https://technext.github.io/raising/)
10:11:41	177639/177639	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-2b5e7%22	https://technext.github.io/raising/assets/img/slider/1.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/slider/1.jpg	(from https://technext.github.io/raising/)
10:11:42	173150/173150	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-2a45e%22	https://technext.github.io/raising/assets/img/slider/2.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/slider/2.jpg	(from https://technext.github.io/raising/)
10:11:43	145013/145013	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-23675%22	https://technext.github.io/raising/assets/img/slider/3.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/slider/3.jpg	(from https://technext.github.io/raising/)
10:11:44	116334/116334	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-1c66e%22	https://technext.github.io/raising/assets/img/slider/4.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/slider/4.jpg	(from https://technext.github.io/raising/)
10:11:44	84945/84945	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-14bd1%22	https://technext.github.io/raising/assets/img/about/2.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/about/2.jpg	(from https://technext.github.io/raising/)
10:11:46	138/138	---MC-	302	error ('Found')	text/html	date:Tue,%2020%20Sep%202022%2004:41:45%20GMT	https://unsplash.it/800	/home/kumartej/websites/construction4/unsplash.it/800.e.delayed	(from https://technext.github.io/raising/)
10:11:47	118178/118178	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-1cda2%22	https://technext.github.io/raising/assets/img/service/1.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/service/1.jpg	(from https://technext.github.io/raising/)
10:11:47	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://technext.github.io/raising/service-single.html	/home/kumartej/websites/construction4/technext.github.io/raising/service-single.html	(from https://technext.github.io/raising/)
10:11:49	73758/73758	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-1201e%22	https://technext.github.io/raising/assets/img/service/2.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/service/2.jpg	(from https://technext.github.io/raising/)
10:11:50	82096/82096	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-140b0%22	https://technext.github.io/raising/assets/img/service/3.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/service/3.jpg	(from https://technext.github.io/raising/)
10:11:51	160117/160117	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-27175%22	https://technext.github.io/raising/assets/img/service/4.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/service/4.jpg	(from https://technext.github.io/raising/)
10:11:52	76643/76643	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-12b63%22	https://technext.github.io/raising/assets/img/service/5.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/service/5.jpg	(from https://technext.github.io/raising/)
10:11:52	142033/142033	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-22ad1%22	https://technext.github.io/raising/assets/img/service/6.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/service/6.jpg	(from https://technext.github.io/raising/)
10:11:54	154897/154897	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-25d11%22	https://technext.github.io/raising/assets/img/gallery/9.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/gallery/9.jpg	(from https://technext.github.io/raising/)
10:11:55	252593/252593	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-3dab1%22	https://technext.github.io/raising/assets/img/gallery/10.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/gallery/10.jpg	(from https://technext.github.io/raising/)
10:11:56	150506/150506	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-24bea%22	https://technext.github.io/raising/assets/img/gallery/11.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/gallery/11.jpg	(from https://technext.github.io/raising/)
10:11:57	267056/267056	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-41330%22	https://technext.github.io/raising/assets/img/gallery/12.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/gallery/12.jpg	(from https://technext.github.io/raising/)
10:11:58	129658/129658	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-1fa7a%22	https://technext.github.io/raising/assets/img/gallery/13.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/gallery/13.jpg	(from https://technext.github.io/raising/)
10:11:59	189085/189085	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-2e29d%22	https://technext.github.io/raising/assets/img/gallery/14.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/gallery/14.jpg	(from https://technext.github.io/raising/)
10:12:00	357338/357338	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-573da%22	https://technext.github.io/raising/assets/img/gallery/1.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/gallery/1.jpg	(from https://technext.github.io/raising/)
10:12:01	0/-1	---M--	302	error ('')			https://unsplash.it/800	/home/kumartej/websites/construction4/unsplash.it/800.1e.delayed	(from https://technext.github.io/raising/)
10:12:01	0/-1	---M--	302	error ('')			https://unsplash.it/800	/home/kumartej/websites/construction4/unsplash.it/800.1f.delayed	(from https://technext.github.io/raising/)
10:12:01	0/-1	---M--	302	error ('')			https://unsplash.it/800	/home/kumartej/websites/construction4/unsplash.it/800.20.delayed	(from https://technext.github.io/raising/)
10:12:01	0/-1	---M--	302	error ('')			https://unsplash.it/800	/home/kumartej/websites/construction4/unsplash.it/800.21.delayed	(from https://technext.github.io/raising/)
10:12:01	318987/318987	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-4de0b%22	https://technext.github.io/raising/assets/img/gallery/2.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/gallery/2.jpg	(from https://technext.github.io/raising/)
10:12:01	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://technext.github.io/raising/%22assets/img/bg/demo.jpg%22	/home/kumartej/websites/construction4/technext.github.io/raising/_assets/img/bg/demo.jpg_	(from https://technext.github.io/raising/)
10:12:02	13774/13774	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-35ce%22	https://technext.github.io/raising/assets/img/team/1.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/team/1.jpg	(from https://technext.github.io/raising/)
10:12:04	16753/16753	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-4171%22	https://technext.github.io/raising/assets/img/team/2.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/team/2.jpg	(from https://technext.github.io/raising/)
10:12:04	12827/12827	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-321b%22	https://technext.github.io/raising/assets/img/team/3.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/team/3.jpg	(from https://technext.github.io/raising/)
10:12:05	16118/16118	---M--	200	added ('OK')	image/jpeg	etag:%225a929a34-3ef6%22	https://technext.github.io/raising/assets/img/team/4.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/team/4.jpg	(from https://technext.github.io/raising/)
10:12:06	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20Sep%202022%2004:42:06%20GMT	http://placehold.it/400x400	/home/kumartej/websites/construction4/placehold.it/400x400.27.delayed	(from https://technext.github.io/raising/)
10:12:07	0/-1	---M--	301	error ('')			http://placehold.it/400x400	/home/kumartej/websites/construction4/placehold.it/400x400.28.delayed	(from https://technext.github.io/raising/)
10:12:07	0/-1	---M--	301	error ('')			http://placehold.it/400x400	/home/kumartej/websites/construction4/placehold.it/400x400.29.delayed	(from https://technext.github.io/raising/)
10:12:07	0/-1	---M--	301	error ('')			http://placehold.it/400x400	/home/kumartej/websites/construction4/placehold.it/400x400.2a.delayed	(from https://technext.github.io/raising/)
10:12:07	0/-1	---M--	301	error ('')			http://placehold.it/400x400	/home/kumartej/websites/construction4/placehold.it/400x400.2b.delayed	(from https://technext.github.io/raising/)
10:12:07	0/-1	---M--	301	error ('')			http://placehold.it/400x400	/home/kumartej/websites/construction4/placehold.it/400x400.2c.delayed	(from https://technext.github.io/raising/)
10:12:07	0/-1	---M--	301	error ('')			http://placehold.it/400x400	/home/kumartej/websites/construction4/placehold.it/400x400.2d.delayed	(from https://technext.github.io/raising/)
10:12:07	0/-1	---M--	301	error ('')			http://placehold.it/400x400	/home/kumartej/websites/construction4/placehold.it/400x400.2e.delayed	(from https://technext.github.io/raising/)
10:12:07	0/-1	---M--	301	error ('')			http://placehold.it/400x400	/home/kumartej/websites/construction4/placehold.it/400x400.2f.delayed	(from https://technext.github.io/raising/)
10:12:07	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a929a34-15283%22	https://technext.github.io/raising/assets/vendors/jquery/jquery.min.js	/home/kumartej/websites/construction4/technext.github.io/raising/assets/vendors/jquery/jquery.min.js	(from https://technext.github.io/raising/)
10:12:08	12371/12371	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a929a34-3053%22	https://technext.github.io/raising/assets/vendors/imagesloaded/imagesloaded.pkgd.js	/home/kumartej/websites/construction4/technext.github.io/raising/assets/vendors/imagesloaded/imagesloaded.pkgd.js	(from https://technext.github.io/raising/)
10:12:09	91099/91099	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a929a34-163db%22	https://technext.github.io/raising/assets/vendors/isotope-layout/isotope.pkgd.js	/home/kumartej/websites/construction4/technext.github.io/raising/assets/vendors/isotope-layout/isotope.pkgd.js	(from https://technext.github.io/raising/)
10:12:10	3265/3265	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a929a34-cc1%22	https://technext.github.io/raising/assets/vendors/jquery.matchHeight/jquery.matchHeight.min.js	/home/kumartej/websites/construction4/technext.github.io/raising/assets/vendors/jquery.matchHeight/jquery.matchHeight.min.js	(from https://technext.github.io/raising/)
10:12:12	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a929a34-4ef8%22	https://technext.github.io/raising/assets/vendors/magnific-popup/jquery.magnific-popup.min.js	/home/kumartej/websites/construction4/technext.github.io/raising/assets/vendors/magnific-popup/jquery.magnific-popup.min.js	(from https://technext.github.io/raising/)
10:12:13	63129/63129	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a929a34-f699%22	https://technext.github.io/raising/assets/vendors/masonry-layout/masonry.pkgd.js	/home/kumartej/websites/construction4/technext.github.io/raising/assets/vendors/masonry-layout/masonry.pkgd.js	(from https://technext.github.io/raising/)
10:12:14	208639/208639	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a929a34-32eff%22	https://technext.github.io/raising/assets/vendors/swiper/swiper.jquery.js	/home/kumartej/websites/construction4/technext.github.io/raising/assets/vendors/swiper/swiper.jquery.js	(from https://technext.github.io/raising/)
10:12:14	5167/5167	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a929a34-142f%22	https://technext.github.io/raising/assets/vendors/jquery-one-page/jquery.nav.js	/home/kumartej/websites/construction4/technext.github.io/raising/assets/vendors/jquery-one-page/jquery.nav.js	(from https://technext.github.io/raising/)
10:12:15	2113/2113	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a929a34-841%22	https://technext.github.io/raising/assets/vendors/menu/menu.js	/home/kumartej/websites/construction4/technext.github.io/raising/assets/vendors/menu/menu.js	(from https://technext.github.io/raising/)
10:12:16	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a929a34-2344%22	https://technext.github.io/raising/assets/vendors/jquery.waypoints/jquery.waypoints.min.js	/home/kumartej/websites/construction4/technext.github.io/raising/assets/vendors/jquery.waypoints/jquery.waypoints.min.js	(from https://technext.github.io/raising/)
10:12:17	7919/7919	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a929a34-1eef%22	https://technext.github.io/raising/assets/js/main.js	/home/kumartej/websites/construction4/technext.github.io/raising/assets/js/main.js	(from https://technext.github.io/raising/)
10:12:19	51/51	---MCZ	200	added ('OK')	text/plain	date:Tue,%2020%20Sep%202022%2004:42:18%20GMT	https://fonts.googleapis.com/robots.txt		(from https://technext.github.io/raising/)
10:13:35	173150/173150	URF---	200	added ('OK%20(cached)')	image/jpeg		https://technext.github.io/raising/assets/img/slider/2.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/slider/2.jpg	(from https://technext.github.io/raising/)
10:13:35	177639/177639	URF---	200	added ('OK%20(cached)')	image/jpeg		https://technext.github.io/raising/assets/img/slider/1.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/slider/1.jpg	(from https://technext.github.io/raising/)
10:13:35	145013/145013	URF---	200	added ('OK%20(cached)')	image/jpeg		https://technext.github.io/raising/assets/img/slider/3.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/slider/3.jpg	(from https://technext.github.io/raising/)
10:13:35	116334/116334	URF---	200	added ('OK%20(cached)')	image/jpeg		https://technext.github.io/raising/assets/img/slider/4.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/slider/4.jpg	(from https://technext.github.io/raising/)
10:13:36	84945/84945	URF---	200	added ('OK%20(cached)')	image/jpeg		https://technext.github.io/raising/assets/img/about/2.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/about/2.jpg	(from https://technext.github.io/raising/)
10:13:37	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225a929a34-2876e%22	https://technext.github.io/raising/assets/fonts/fontawesome/fonts/fontawesome-webfont.eot?v=4.7.0	/home/kumartej/websites/construction4/technext.github.io/raising/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.eot	(from https://technext.github.io/raising/assets/fonts/fontawesome/font-awesome.min.css)
10:13:37	73758/73758	URF---	200	added ('OK%20(cached)')	image/jpeg		https://technext.github.io/raising/assets/img/service/2.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/service/2.jpg	(from https://technext.github.io/raising/)
10:13:37	82096/82096	URF---	200	added ('OK%20(cached)')	image/jpeg		https://technext.github.io/raising/assets/img/service/3.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/service/3.jpg	(from https://technext.github.io/raising/)
10:13:37	118178/118178	URF---	200	added ('OK%20(cached)')	image/jpeg		https://technext.github.io/raising/assets/img/service/1.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/service/1.jpg	(from https://technext.github.io/raising/)
10:13:37	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225a929a34-2876e%22	https://technext.github.io/raising/assets/fonts/fontawesome/fonts/fontawesome-webfont.eot?	/home/kumartej/websites/construction4/technext.github.io/raising/assets/fonts/fontawesome/fonts/fontawesome-webfontd41d.eot	(from https://technext.github.io/raising/assets/fonts/fontawesome/font-awesome.min.css)
10:13:38	160117/160117	URF---	200	added ('OK%20(cached)')	image/jpeg		https://technext.github.io/raising/assets/img/service/4.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/service/4.jpg	(from https://technext.github.io/raising/)
10:13:38	76643/76643	URF---	200	added ('OK%20(cached)')	image/jpeg		https://technext.github.io/raising/assets/img/service/5.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/service/5.jpg	(from https://technext.github.io/raising/)
10:13:38	142033/142033	URF---	200	added ('OK%20(cached)')	image/jpeg		https://technext.github.io/raising/assets/img/service/6.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/service/6.jpg	(from https://technext.github.io/raising/)
10:13:38	154897/154897	URF---	200	added ('OK%20(cached)')	image/jpeg		https://technext.github.io/raising/assets/img/gallery/9.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/gallery/9.jpg	(from https://technext.github.io/raising/)
10:13:39	150506/150506	URF---	200	added ('OK%20(cached)')	image/jpeg		https://technext.github.io/raising/assets/img/gallery/11.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/gallery/11.jpg	(from https://technext.github.io/raising/)
10:13:39	267056/267056	URF---	200	added ('OK%20(cached)')	image/jpeg		https://technext.github.io/raising/assets/img/gallery/12.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/gallery/12.jpg	(from https://technext.github.io/raising/)
10:13:40	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%225a929a34-12d68%22	https://technext.github.io/raising/assets/fonts/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/kumartej/websites/construction4/technext.github.io/raising/assets/fonts/fontawesome/fonts/fontawesome-webfont3e6e.woff2	(from https://technext.github.io/raising/assets/fonts/fontawesome/font-awesome.min.css)
10:13:40	252593/252593	URF---	200	added ('OK%20(cached)')	image/jpeg		https://technext.github.io/raising/assets/img/gallery/10.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/gallery/10.jpg	(from https://technext.github.io/raising/)
10:13:40	129658/129658	URF---	200	added ('OK%20(cached)')	image/jpeg		https://technext.github.io/raising/assets/img/gallery/13.jpg	/home/kumartej/websites/construction4/technext.github.io/raising/assets/img/gallery/13.jpg	(from https://technext.github.io/raising/)
